TRACK_ID,TOTAL_STREAM,DAILY_STREAM
1BxfuPKGuaTgP7aM0Bbdwr,3209312421,1248718
1p80LdxRV74UKvL8gnD7ky,2317743556,1053020
55n9yjI6qqXh5F2mYvUc2y,2056041320,721294
1dGr1c8CrMLDpV6mPbImSI,1955770681,703791
0V3wPSX9ygBnCm8psDIegu,1955102958,469388
4R2kfaDFhslZEMJqAFNpdd,1882831211,871696
5xTtaWoae3wi06K5WfVUUH,1798766083,673827
3hUxzQpSfdDqwM3ZTFQY0K,1706338196,731900
4lIxdJw6W3Fg4vUIYCB0S5,1622552324,1177569
1R0a2iXumgCiFb7HEZ7gUE,1540795695,602116
1P17dC1amhFzptugyAO7Il,1400944176,307428
6NFyWDv5CjfwuzoCkw47Xf,1275908477,466957
5enxwA8aAbwZbf5qCHORXi,1147558561,533676
59HjlYCeBsxdI0fcm3zglw,1139243458,350317
6YvqWjhGD8mB5QXcbcUKtx,1127674583,557597
6RRNNciQGZEXnqk8SQ9yv5,1112459080,210226
2OzhQlSqBEmt7hmkYxfT6m,1098879067,633017
1vrd6UOGamcKNGnSHJQlSt,1082593931,356968
2o2IVjuqRkR9hJxtPjtAP0,1064694474,452121
2gVhfX2Gy1T9kDuS9azrF7,1057987314,283136
4pvb0WLRcMtbPGmtejJJ6y,1039169185,481221
1qrpoAMXodY6895hGKoUpA,1033452655,574117
7KokYm8cMIXCsGVmUvKtqf,991712584,271246
5lg33MHs1BoUtJVClw8ZpI,987739571,288154
27exgla7YBw9DUNNcTIpjy,986901934,392019
2yLa0QULdQr0qAIvVwN6B5,986156908,360603
3RauEVgRgj1IuWdJ9fDs70,982839839,261940
2Rk4JlNc2TPmZe2af99d45,966056943,142646
0VE4kBnHJUgtMf0dy6DRmW,883951608,353841
5jQI2r1RdgtuT8S3iG8zFC,871406648,188052
1dosSsKwYF7hoQA2kuu6wI,866607228,6445781
3rWDp9tBPQR9z6U5YyRSK4,830949134,232304
4D7BCuvgdJlYvlX5WlN54t,829315477,375124
4y5bvROuBDPr5fuwXbIBZR,812998960,238344
1gcyHQpBQ1lfXGdhZmWrHP,804175527,279692
1MgV7FIyNxIG7WzMRJV5HC,799500849,442787
3GCL1PydwsLodcpv0Ll1ch,792386652,300375
7AEAGTc8cReDqcbPoY9gwo,783298501,205976
4q5YezDOIPcoLr8R81x9qy,779601182,443689
0Jlcvv8IykzHaSmj49uNW8,748856883,304257
1ZY1PqizIl78geGM4xWlEA,727015159,167661
273dCMFseLcVsoSWx59IoE,722307209,207781
3qoftcUZaUOncvIYjFSPdE,696467092,194846
1fzAuUVbzlhZ1lJAx9PtY6,664124427,463493
2x0WlnmfG39ZuDmstl9xfX,610172953,174364
3eX0NZfLtGzoLUxPNvRfqm,594197864,211315
2NmsngXHeC1GQ9wWrzhOMf,594037000,246589
6IG3sQ8s9nfk6TUlVzRhbN,568506958,182685
22bPsP2jCgbLUvh82U0Z3M,564728889,243373
4svZDCRz4cJoneBpjpx8DJ,564177784,190827
0ZNU020wNYvgW84iljPkPP,559537424,221714
1GwMQaZz6Au3QLDbjbMdme,557734749,327963
7kt9e9LFSpN1zQtYEl19o1,553969537,273647
214nt20w5wOxJnY462klLw,541170422,252522
3pHkh7d0lzM2AldUtz2x37,534994586,204871
6oVxXO5oQ4pTpO8RSnkzvv,528151699,510857
0W0iAC1VGlB82PI6elxFYf,527467584,437139
1wtOxkiel43cVs0Yux5Q4h,512205250,111407
6VsvKPJ4xjVNKpI8VVZ3SV,505769218,233637
1xwAWUI6Dj0WGC3KiUPN0O,502827427,119875
2F3N9tdombb64aW6VtZOdo,501454047,276822
1SymEzIT3H8UZfibCs3TYi,494623713,139077
6AtZLIzUINvExIUy4QhdjP,490251588,112400
3sW3oSbzsfecv9XoUdGs7h,489186695,260721
3DrjZArsPsoqbLzUZZV1Id,486766703,184472
3zwMVvkBe2qIKDObWgXw4N,479773309,237611
17yraMKqmZIKAv3iaGcoLX,469217646,115672
5YqltLsjdqFtvqE7Nrysvs,466989293,158473
67osB3wmJVTFzKhWqPb1Hm,465548079,2399603
2CYVETnhM9aytqrazYYwrK,460248465,126298
2P5gfMtCcKP0CkmgqFMyPg,454324995,105434
2Eeur20xVqfUoM3Q7EFPFt,449104656,114461
7FmYn9e7KHMXcxqGSj9LjH,448662815,141315
7qGr3rjRhndRIpFUA5f2HJ,448231367,133955
5kI4eCXXzyuIUXjQra0Cxi,445484204,107861
77sMIMlNaSURUAXq5coCxE,445010861,174024
12M5uqx0ZuwkpLp5rJim1a,435603595,167192
0CD7DzeCsuPJygddqlUVYa,428968849,220762
4OAuvHryIVv4kMDNSLuPt6,424070301,206291
6lCvK2AR2uOKkVFCVlAzzm,423727929,157726
1LLXZFeAHK9R4xUramtUKw,423335563,143169
5QUIK7ZtziW8kGWo8RqopF,419281484,181970
36t6frENUtCYKuZus6aYDO,414151692,238076
43rA71bccXFGD4C8GOpIlN,406240490,104851
3Vevii7qKqrmW8CcyzBHDl,404675751,203724
3Vpk1hfMAQme8VJ0SNRSkd,402505200,257655
3yII7UwgLF6K5zW3xad3MP,399545780,126023
6KJqZcs9XDgVck7Lg9QOTC,396835464,111482
2XXwLdtuAcE0HSCu61ijAb,387281118,223033
0A1JLUlkZkp2EFrosoNQi0,383104409,184978
7Mts0OfPorF4iwOomvfqn1,374658223,326095
3CWq0pAKKTWb0K4yiglDc4,368954435,187693
2VuqMjgoKaOHNM8HpxtXKx,367583297,132356
3nsfB1vus2qaloUdcBZvDu,366686598,190880
2dgFqt3w9xIQRjhPtwNk3D,362912591,121641
7HuBDWi18s4aJM8UFnNheH,359957073,118569
5og4Qzt92jJzVDkOtSEilb,359501141,180759
0wavGRldH0AWyu2zvTz8zb,359126182,124592
5OndtwLGA9O6XHFcGm2H7r,358898076,82667
4WBEj8TeGtRPNJdOmT3WJW,356909394,184725
0heeNYlwOGuUSe7TgUD27B,356413427,82050
5hQSXkFgbxjZo9uCwd11so,355393778,236206
4txojlesMFQZGWxwz2EeqB,353802792,114203
3Dby3p1m6IOZn2gIIqECgK,352767577,87047
0108kcWLnn2HlH2kedi1gn,351762410,222911
6uwfVkaOM1mcMkFmSn35ix,342033911,83889
2YWtcWi3a83pdEg3Gif4Pd,339725134,83971
6RSG1dKPV5gEvILwJb4QtS,339527066,301289
6sQckd3Z8NPxVVKUnavY1F,334881105,84350
5kHMfzgLZP95O9NBy0ku4v,334345524,93505
7I7JbDv63ZJJsSi24DyJrz,331949429,109742
3i9UVldZOE0aD0JnyfAZZ0,327560908,53485
2v1ivOOsgn64g5OywuH55L,323006562,211700
0qAIiGFKLdV1xpNlEhjpq8,322226518,88514
3NMrVbIVWT3fPXBj0rNDKG,317788048,156837
3ZVFcD8Wlw9T9klGqmJf9F,314347454,170009
4NAmRvqSITAAzKWnC8yRq3,308393331,69144
5uICWmZTLkpEVbK22PBP6e,307288186,127361
6Wlq9rqkxrqj5Kls4Kw14H,292256075,115175
01K4zKU104LyJ8gMb7227B,291092620,95826
